,HEHV,IBT1,IBT2,LSHV,NLTV,P20V,RPM,SSHV,SSW1,TTEM,TTSW
45615.27413,1372.8442,202.9,121.8,1171.6533,0,17,0,1017.1962,92.61,18.9,0
45615.27419,1372.8442,202.9,121.8,1171.6533,0,17,0,1017.1962,99,18.9,0
45615.27425,1372.8442,203.9,122.9,1171.6533,0,17,0,1017.1962,96,18.9,0
45615.27431,1372.8442,203.9,121.8,1171.6533,0,17,0,1017.1962,103,18.9,0
45615.27436,1372.8442,202.9,122.9,1171.6533,0,17,0,1017.1962,89.01,18.9,0
45615.27442,1372.8442,202.9,120.7,1172.533,0,17,0,1017.1962,102,18.9,0
45615.27448,1372.8442,201.8,120.7,1172.533,0,17,0,1017.1962,100,18.9,0
45615.27454,1372.8442,202.9,122.9,1172.533,0,17,0,1017.1962,101,18.9,0
45615.27459,1372.8442,202.9,122.9,1172.533,0,17,0,1017.1962,90.41,18.9,0
45615.27465,1372.8442,202.9,122.9,1172.533,0,17,0,1017.1962,95,18.9,0
45615.27471,1372.8442,201.8,121.8,1172.533,0,17,0,1017.1962,97,18.9,0
45615.27477,1373.724,201.8,119.6,1172.533,0,17,0,1017.1962,93.61,18.9,0
45615.27483,1373.724,201.8,120.7,1172.533,0,17,0,1017.1962,96,18.9,0
45615.27488,1373.724,201.8,120.7,1172.533,0,17,0,1017.1962,104,18.9,0
45615.27494,1373.724,201.8,119.6,1172.533,0,17,0,1017.1962,105,18.9,0
45615.275,1373.724,200.7,120.7,1172.533,0,17,0,1017.1962,104,18.9,0
45615.27506,1373.724,200.7,120.7,1172.533,0,17,0,1017.1962,99,18.9,0
45615.27512,1372.8442,199.6,119.6,1172.533,0,17,0,1017.1962,96,18.9,0
45615.27517,1372.8442,201.8,118.6,1172.533,0,17,0,1017.1962,98,18.9,0
45615.27523,1372.8442,200.7,118.6,1172.533,0,17,0,1017.1962,97,18.9,0
45615.27529,1372.8442,199.6,118.6,1172.533,0,17,0,1017.1962,100,18.9,0
45615.27535,1372.8442,200.7,118.6,1172.533,0,17,0,1017.1962,100,18.9,0
45615.27541,1372.8442,200.7,118.6,1172.533,0,17,0,1017.1962,94.21,18.9,0
45615.27546,1373.724,200.7,120.7,1172.533,0,17,0,1017.1962,97,18.9,0
45615.27552,1373.724,201.8,120.7,1172.533,0,17,0,1017.1962,103,18.9,0
45615.27558,1373.724,200.7,119.6,1172.533,0,17,0,1017.1962,99,18.9,0
45615.27564,1373.724,201.8,119.6,1172.533,0,17,0,1017.1962,90.51,18.9,0
45615.27569,1373.724,201.8,120.7,1172.533,0,17,0,1017.1962,98,18.9,0
45615.27575,1373.724,201.8,121.8,1172.533,0,17,0,1017.1962,97,18.9,0
45615.27581,1372.8442,201.8,121.8,1172.533,0,17,0,1017.1962,96,18.9,0
45615.27587,1372.8442,202.9,121.8,1172.533,0,17,0,1017.1962,93.51,18.9,0
45615.27593,1372.8442,202.9,120.7,1172.533,0,17,0,1017.1962,94,18.9,0
45615.27598,1372.8442,203.9,120.7,1172.533,0,17,0,1017.1962,92.01,18.9,0
45615.27604,1372.8442,203.9,121.8,1172.533,0,17,0,1017.1962,94.41,18.9,0
45615.2761,1372.8442,202.9,120.7,1172.533,0,17,0,1017.1962,98,18.9,0
45615.27616,1373.724,201.8,120.7,1172.533,0,17,0,1017.1962,101,18.9,0
45615.27622,1373.724,200.7,121.8,1172.533,0,17,0,1017.1962,98,18.9,0
45615.27627,1373.724,202.9,121.8,1172.533,0,17,0,1017.1962,94.41,18.9,0
45615.27633,1373.724,202.9,121.8,1172.533,0,17,0,1017.1962,96,18.9,0
45615.27639,1373.724,200.7,120.7,1172.533,0,17,0,1017.1962,108,18.9,0
45615.27645,1373.724,202.9,120.7,1172.533,0,17,0,1017.1962,104,18.9,0
45615.2765,1372.8442,202.9,121.8,1172.533,0,17,0,1017.1962,96,18.9,0
45615.27656,1372.8442,201.8,122.9,1172.533,0,17,0,1017.1962,99,18.9,0
45615.27662,1372.8442,202.9,120.7,1172.533,0,17,0,1017.1962,101,18.9,0
45615.27668,1372.8442,203.9,121.8,1172.533,0,17,0,1017.1962,92.41,18.9,0
45615.27674,1372.8442,202.9,124,1172.533,0,17,0,1017.1962,103,18.9,0
45615.27679,1372.8442,201.8,122.9,1172.533,0,17,0,1017.1962,99,18.9,0
45615.27685,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,98,18.9,0
45615.27691,1373.724,201.8,121.8,1172.533,0,17,0,1017.1962,96,18.9,0
45615.27697,1373.724,202.9,124,1172.533,0,17,0,1017.1962,93.41,18.9,0
45615.27703,1373.724,200.7,120.7,1172.533,0,17,0,1017.1962,96,18.9,0
45615.27708,1373.724,202.9,121.8,1172.533,0,17,0,1017.1962,104,18.9,0
45615.27714,1373.724,202.9,121.8,1172.533,0,17,0,1017.1962,105,18.9,0
45615.2772,1373.724,202.9,121.8,1172.533,0,17,0,1017.1962,94.01,18.9,0
45615.27726,1373.724,201.8,121.8,1172.533,0,17,0,1017.1962,96,18.9,0
45615.27731,1373.724,201.8,121.8,1172.533,0,17,0,1017.1962,101,18.9,0
45615.27737,1373.724,200.7,121.8,1172.533,0,17,0,1017.1962,99,18.9,0
45615.27743,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,97,18.9,0
45615.27749,1373.724,200.7,121.8,1172.533,0,17,0,1017.1962,97,18.9,0
45615.27755,1372.8442,200.7,119.6,1172.533,0,17,0,1017.1962,100,18.9,0
45615.2776,1372.8442,199.6,119.6,1172.533,0,17,0,1017.1962,92.01,18.9,0
45615.27766,1372.8442,199.6,119.6,1172.533,0,17,0,1017.1962,97,18.9,0
45615.27772,1372.8442,199.6,119.6,1172.533,0,17,0,1017.1962,94.01,18.9,0
45615.27778,1372.8442,199.6,119.6,1172.533,0,17,0,1017.1962,95,18.9,0
45615.27784,1372.8442,202.9,122.9,1172.533,0,17,0,1017.1962,88.41,18.9,0
45615.27789,1372.8442,201.8,122.9,1172.533,0,17,0,1017.1962,104,18.9,0
45615.27795,1372.8442,200.7,121.8,1172.533,0,17,0,1017.1962,95,18.9,0
45615.27801,1372.8442,200.7,119.6,1172.533,0,17,0,1017.1962,101,18.9,0
45615.27807,1372.8442,200.7,119.6,1172.533,0,17,0,1017.1962,98,18.9,0
45615.27813,1372.8442,199.6,120.7,1172.533,0,17,0,1017.1962,99,18.9,0
45615.27818,1372.8442,199.6,120.7,1172.533,0,17,0,1017.1962,98,18.9,0
45615.27824,1374.6038,199.6,119.6,1172.533,0,17,0,1017.1962,100,18.9,0
45615.2783,1374.6038,199.6,119.6,1172.533,0,17,0,1017.1962,96,18.9,0
45615.27836,1374.6038,199.6,120.7,1172.533,0,17,0,1017.1962,95,18.9,0
45615.27841,1374.6038,200.7,121.8,1172.533,0,17,0,1017.1962,94.18,18.9,0
45615.27847,1374.6038,199.6,120.7,1172.533,0,17,0,1017.1962,96,18.9,0
45615.27853,1374.6038,198.5,120.7,1172.533,0,17,0,1017.1962,97,18.9,0
45615.27859,1373.724,198.5,120.7,1172.533,0,17,0,1017.1962,110,18.9,0
45615.27865,1373.724,199.6,119.6,1172.533,0,17,0,1017.1962,99,18.9,0
45615.2787,1373.724,198.5,119.6,1172.533,0,17,0,1017.1962,93.75,18.9,0
45615.27876,1373.724,198.5,119.6,1172.533,0,17,0,1017.1962,101,18.9,0
45615.27882,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,104,18.9,0
45615.27888,1373.724,198.5,120.7,1172.533,0,17,0,1017.1962,96,18.9,0
45615.27894,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,96,18.9,0
45615.27899,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,102,18.9,0
45615.27905,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,101,18.9,0
45615.27911,1373.724,199.6,119.6,1172.533,0,17,0,1017.1962,106,18.9,0
45615.27917,1373.724,199.6,119.6,1172.533,0,17,0,1017.1962,102,18.9,0
45615.27922,1373.724,199.6,119.6,1172.533,0,17,0,1017.1962,94.61,18.9,0
45615.27928,1374.6038,200.7,120.7,1172.533,0,17,0,1017.1962,96,18.9,0
45615.27934,1374.6038,201.8,120.7,1172.533,0,17,0,1017.1962,99,18.9,0
45615.2794,1374.6038,198.5,120.7,1172.533,0,17,0,1017.1962,92,18.9,0
45615.27946,1374.6038,199.6,121.8,1172.533,0,17,0,1017.1962,91.81,18.9,0
45615.27951,1374.6038,199.6,120.7,1172.533,0,17,0,1017.1962,94.21,18.9,0
45615.27957,1374.6038,199.6,120.7,1172.533,0,17,0,1017.1962,102,18.9,0
45615.27963,1372.8442,199.6,120.7,1172.533,0,17,0,1017.1962,94.25,18.9,0
45615.27969,1372.8442,199.6,121.8,1172.533,0,17,0,1017.1962,105,18.9,0
45615.27975,1372.8442,200.7,122.9,1172.533,0,17,0,1017.1962,94.81,18.9,0
45615.2798,1372.8442,199.6,124,1172.533,0,17,0,1017.1962,92.51,18.9,0
45615.27986,1372.8442,199.6,122.9,1172.533,0,17,0,1017.1962,97,18.9,0
45615.27992,1372.8442,199.6,122.9,1172.533,0,17,0,1017.1962,90.21,18.9,0
45615.27998,1373.724,200.7,120.7,1172.533,0,17,0,1017.1962,105,18.9,0
45615.28003,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,92.85,18.9,0
45615.28009,1373.724,198.5,119.6,1172.533,0,17,0,1017.1962,95,18.9,0
45615.28015,1373.724,198.5,119.6,1172.533,0,17,0,1017.1962,93.61,18.9,0
45615.28021,1373.724,198.5,119.6,1172.533,0,17,0,1017.1962,100,18.9,0
45615.28027,1373.724,199.6,119.6,1172.533,0,17,0,1017.1962,103,18.9,0
45615.28032,1372.8442,199.6,119.6,1172.533,0,17,0,1017.1962,105,18.9,0
45615.28038,1372.8442,199.6,120.7,1172.533,0,17,0,1017.1962,94.61,18.9,0
45615.28044,1372.8442,198.5,119.6,1172.533,0,17,0,1017.1962,100,18.9,0
45615.2805,1372.8442,198.5,121.8,1172.533,0,17,0,1017.1962,100,18.9,0
45615.28056,1372.8442,198.5,121.8,1172.533,0,17,0,1017.1962,98,18.9,0
45615.28061,1372.8442,197.4,120.7,1172.533,0,17,0,1017.1962,110,18.9,0
45615.28067,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,92.01,18.9,0
45615.28073,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,104,18.9,0
45615.28079,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,102,18.9,0
45615.28084,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,94.01,18.9,0
45615.2809,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28096,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,97,18.9,0
45615.28102,1372.8442,198.5,121.8,1172.533,0,17,0,1017.1962,103,18.9,0
45615.28108,1372.8442,198.5,121.8,1172.533,0,17,0,1017.1962,98,18.9,0
45615.28113,1372.8442,199.6,120.7,1172.533,0,17,0,1017.1962,99,18.9,0
45615.28119,1372.8442,199.6,120.7,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28125,1372.8442,199.6,120.7,1172.533,0,17,0,1017.1962,92.25,18.9,0
45615.28131,1372.8442,200.7,120.7,1172.533,0,17,0,1017.1962,89.21,18.9,0
45615.28137,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,96,18.9,0
45615.28142,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,97,18.9,0
45615.28148,1373.724,198.5,120.7,1172.533,0,17,0,1017.1962,103,18.9,0
45615.28154,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,104,18.9,0
45615.2816,1373.724,200.7,120.7,1172.533,0,17,0,1017.1962,100,18.9,0
45615.28166,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,94.51,18.9,0
45615.28171,1373.724,199.6,122.9,1172.533,0,17,0,1017.1962,105,18.9,0
45615.28177,1373.724,199.6,122.9,1172.533,0,17,0,1017.1962,93.01,18.9,0
45615.28183,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,97,18.9,0
45615.28189,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,107,18.9,0
45615.28194,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,93.5,18.9,0
45615.282,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,102,18.9,0
45615.28206,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,99,18.9,0
45615.28212,1373.724,198.5,120.7,1172.533,0,17,0,1017.1962,96,18.9,0
45615.28218,1373.724,198.5,119.6,1172.533,0,17,0,1017.1962,103,18.9,0
45615.28223,1373.724,199.6,119.6,1172.533,0,17,0,1017.1962,93.81,18.9,0
45615.28229,1373.724,198.5,120.7,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28235,1373.724,198.5,119.6,1172.533,0,17,0,1017.1962,103,18.9,0
45615.28241,1372.8442,198.5,120.7,1172.533,0,17,0,1017.1962,98,18.9,0
45615.28247,1372.8442,198.5,120.7,1172.533,0,17,0,1017.1962,100,18.9,0
45615.28252,1372.8442,198.5,120.7,1172.533,0,17,0,1017.1962,100,18.9,0
45615.28258,1372.8442,198.5,120.7,1172.533,0,17,0,1017.1962,97,18.9,0
45615.28264,1372.8442,198.5,121.8,1172.533,0,17,0,1017.1962,91.26,18.9,0
45615.2827,1372.8442,200.7,121.8,1172.533,0,17,0,1017.1962,98,18.9,0
45615.28275,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,98,18.9,0
45615.28281,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,92.41,18.9,0
45615.28287,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,109,18.9,0
45615.28293,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,90.21,18.9,0
45615.28299,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,90.81,18.9,0
45615.28304,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,101,18.9,0
45615.2831,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,104,18.9,0
45615.28316,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,102,18.9,0
45615.28322,1373.724,200.7,122.9,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28328,1373.724,199.6,122.9,1172.533,0,17,0,1017.1962,86.68,18.9,0
45615.28333,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28339,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,100,18.9,0
45615.28345,1374.6038,199.6,121.8,1172.533,0,17,0,1017.1962,97,18.9,0
45615.28351,1374.6038,199.6,121.8,1172.533,0,17,0,1017.1962,94.34,18.9,0
45615.28356,1374.6038,199.6,120.7,1172.533,0,17,0,1017.1962,99,18.9,0
45615.28362,1374.6038,199.6,120.7,1172.533,0,17,0,1017.1962,91.61,18.9,0
45615.28368,1374.6038,199.6,120.7,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28374,1374.6038,199.6,121.8,1172.533,0,17,0,1017.1962,105,18.9,0
45615.2838,1373.724,198.5,120.7,1172.533,0,17,0,1017.1962,100,18.9,0
45615.28385,1373.724,198.5,119.6,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28391,1373.724,198.5,119.6,1172.533,0,17,0,1017.1962,96,18.9,0
45615.28397,1373.724,198.5,120.7,1172.533,0,17,0,1017.1962,100,18.9,0
45615.28403,1373.724,197.4,119.6,1172.533,0,17,0,1017.1962,83.25,18.9,0
45615.28409,1373.724,197.4,119.6,1172.533,0,17,0,1017.1962,91.01,18.9,0
45615.28414,1372.8442,198.5,120.7,1172.533,0,17,0,1017.1962,104,18.9,0
45615.2842,1372.8442,198.5,120.7,1172.533,0,17,0,1017.1962,96,18.9,0
45615.28426,1372.8442,198.5,120.7,1172.533,0,17,0,1017.1962,102,18.9,0
45615.28432,1372.8442,199.6,120.7,1172.533,0,17,0,1017.1962,98,18.9,0
45615.28438,1372.8442,199.6,120.7,1172.533,0,17,0,1017.1962,106,18.9,0
45615.28443,1372.8442,199.6,120.7,1172.533,0,17,0,1017.1962,105,18.9,0
45615.28449,1372.8442,198.5,120.7,1172.533,0,17,0,1017.1962,96,18.9,0
45615.28455,1372.8442,199.6,120.7,1172.533,0,17,0,1017.1962,102,18.9,0
45615.28461,1372.8442,199.6,121.8,1172.533,0,17,0,1017.1962,95,18.9,0
45615.28466,1372.8442,199.6,121.8,1172.533,0,17,0,1017.1962,104,18.9,0
45615.28472,1372.8442,199.6,120.7,1172.533,0,17,0,1017.1962,96,18.9,0
45615.28478,1372.8442,199.6,121.8,1172.533,0,17,0,1017.1962,97,18.9,0
45615.28484,1373.724,198.5,120.7,1172.533,0,17,0,1017.1962,106,18.9,0
45615.2849,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,95,18.9,0
45615.28495,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,89.25,18.9,0
45615.28501,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28507,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,102,18.9,0
45615.28513,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,99,18.9,0
45615.28519,1374.6038,199.6,120.7,1172.533,0,17,0,1017.1962,109,18.9,0
45615.28524,1374.6038,199.6,120.7,1172.533,0,17,0,1017.1962,104,18.9,0
45615.2853,1374.6038,199.6,121.8,1172.533,0,17,0,1017.1962,98,18.9,0
45615.28536,1374.6038,198.5,120.7,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28542,1374.6038,198.5,120.7,1172.533,0,17,0,1017.1962,99,18.9,0
45615.28547,1374.6038,198.5,120.7,1172.533,0,17,0,1017.1962,100,18.9,0
45615.28553,1373.724,198.5,120.7,1172.533,0,17,0,1017.1962,95,18.9,0
45615.28559,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,104,18.9,0
45615.28565,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,98,18.9,0
45615.28571,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28576,1373.724,198.5,119.6,1172.533,0,17,0,1017.1962,99,18.9,0
45615.28582,1373.724,198.5,119.6,1172.533,0,17,0,1017.1962,103,18.9,0
45615.28588,1373.724,197.4,120.7,1172.533,0,17,0,1017.1962,94,18.9,0
45615.28594,1373.724,197.4,121.8,1172.533,0,17,0,1017.1962,95,18.9,0
45615.286,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,94.81,18.9,0
45615.28605,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,103,18.9,0
45615.28611,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,102,18.9,0
45615.28617,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,97,18.9,0
45615.28623,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,104,18.9,0
45615.28628,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,102,18.9,0
45615.28634,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,93.5,18.9,0
45615.2864,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,98,18.9,0
45615.28646,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,93.01,18.9,0
45615.28652,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,98,18.9,0
45615.28657,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,95,18.9,0
45615.28663,1373.724,198.5,122.9,1172.533,0,17,0,1017.1962,92.21,18.9,0
45615.28669,1373.724,197.4,121.8,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28675,1373.724,197.4,121.8,1172.533,0,17,0,1017.1962,97,18.9,0
45615.28681,1373.724,197.4,120.7,1172.533,0,17,0,1017.1962,98,18.9,0
45615.28686,1373.724,197.4,120.7,1172.533,0,17,0,1017.1962,98,18.9,0
45615.28692,1372.8442,197.4,120.7,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28698,1372.8442,197.4,120.7,1172.533,0,17,0,1017.1962,99,18.9,0
45615.28704,1372.8442,197.4,120.7,1172.533,0,17,0,1017.1962,99,18.9,0
45615.28709,1372.8442,197.4,120.7,1172.533,0,17,0,1017.1962,97,18.9,0
45615.28715,1372.8442,198.5,120.7,1172.533,0,17,0,1017.1962,99,18.9,0
45615.28721,1372.8442,198.5,120.7,1172.533,0,17,0,1017.1962,93.01,18.9,0
45615.28727,1373.724,198.5,120.7,1172.533,0,17,0,1017.1962,82.25,18.9,0
45615.28733,1373.724,198.5,120.7,1172.533,0,17,0,1017.1962,93.81,18.9,0
45615.28738,1373.724,197.4,120.7,1172.533,0,17,0,1017.1962,94.61,18.9,0
45615.28744,1373.724,198.5,119.6,1172.533,0,17,0,1017.1962,98,18.9,0
45615.2875,1373.724,198.5,120.7,1172.533,0,17,0,1017.1962,99,18.9,0
45615.28756,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,102,18.9,0
45615.28762,1373.724,199.6,120.7,1172.533,0,17,0,1017.1962,94.41,18.9,0
45615.28767,1373.724,198.5,120.7,1172.533,0,17,0,1017.1962,95,18.9,0
45615.28773,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,100,18.9,0
45615.28779,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,99,18.9,0
45615.28785,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28791,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,88.18,18.9,0
45615.28796,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,103,18.9,0
45615.28802,1373.724,198.5,124,1172.533,0,17,0,1017.1962,93.61,18.9,0
45615.28808,1373.724,198.5,122.9,1172.533,0,17,0,1017.1962,106,18.9,0
45615.28814,1373.724,198.5,122.9,1172.533,0,17,0,1017.1962,94.51,18.9,0
45615.28819,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,93.75,18.9,0
45615.28825,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,105,18.9,0
45615.28831,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,92.61,18.9,0
45615.28837,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,94.61,18.9,0
45615.28843,1373.724,198.5,120.7,1172.533,0,17,0,1017.1962,102,18.9,0
45615.28848,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,93.81,18.9,0
45615.28854,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,84.41,18.9,0
45615.2886,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,98,18.9,0
45615.28866,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28872,1373.724,197.4,121.8,1172.533,0,17,0,1017.1962,88.61,18.9,0
45615.28877,1373.724,197.4,122.9,1172.533,0,17,0,1017.1962,102,18.9,0
45615.28883,1373.724,197.4,122.9,1172.533,0,17,0,1017.1962,95,18.9,0
45615.28889,1373.724,197.4,122.9,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28895,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,98,18.9,0
45615.289,1373.724,199.6,121.8,1172.533,0,17,0,1017.1962,99,18.9,0
45615.28906,1373.724,199.6,122.9,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28912,1373.724,197.4,120.7,1172.533,0,17,0,1017.1962,100,18.9,0
45615.28918,1373.724,197.4,120.7,1172.533,0,17,0,1017.1962,107,18.9,0
45615.28924,1373.724,197.4,120.7,1172.533,0,17,0,1017.1962,98,18.9,0
45615.28929,1373.724,196.4,120.7,1172.533,0,17,0,1017.1962,97,18.9,0
45615.28935,1373.724,196.4,119.6,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28941,1373.724,197.4,119.6,1172.533,0,17,0,1017.1962,103,18.9,0
45615.28947,1373.724,197.4,119.6,1172.533,0,17,0,1017.1962,95,18.9,0
45615.28953,1373.724,197.4,120.7,1172.533,0,17,0,1017.1962,97,18.9,0
45615.28958,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,103,18.9,0
45615.28964,1373.724,198.5,121.8,1172.533,0,17,0,1017.1962,97,18.9,0
45615.2897,1374.6038,198.5,122.9,1172.533,0,17,0,1017.1962,99,18.9,0
45615.28976,1374.6038,198.5,122.9,1172.533,0,17,0,1017.1962,99,18.9,0
45615.28981,1374.6038,198.5,121.8,1172.533,0,17,0,1017.1962,101,18.9,0
45615.28987,1374.6038,198.5,122.9,1172.533,0,17,0,1017.1962,92.21,18.9,0
45615.28993,1374.6038,198.5,121.8,1172.533,0,17,0,1017.1962,106,18.9,0
45615.28999,1374.6038,198.5,121.8,1172.533,0,17,0,1017.1962,98,18.9,0
45615.29005,1372.8442,197.4,121.8,1172.533,0,17,0,1017.1962,101,18.9,0
45615.2901,1372.8442,197.4,121.8,1172.533,0,17,0,1017.1962,101,18.9,0
45615.29016,1372.8442,197.4,122.9,1172.533,0,17,0,1017.1962,96,18.9,0
45615.29022,1372.8442,197.4,122.9,1172.533,0,17,0,1017.1962,97,18.9,0
45615.29028,1372.8442,197.4,122.9,1172.533,0,17,0,1017.1962,101,18.9,0
45615.29034,1372.8442,198.5,122.9,1172.533,0,17,0,1017.1962,96,18.9,0
45615.29039,1373.724,198.5,122.9,1172.533,0,17,0,1017.1962,95,18.9,0
45615.29045,1373.724,197.4,121.8,1172.533,0,17,0,1017.1962,101,18.9,0
45615.29051,1373.724,197.4,121.8,1172.533,0,17,0,1017.1962,95,18.9,0
